FACID,FACNAME,FAC_TYPE_CODE,FAC_FDR,LTC,CAPACITY,ADDRESS,CITY,ZIP,ZIP9,FACADMIN,CONTACT_EMAIL,CONTACT_FAX,CONTACT_PHONE_NUMBER,COUNTY_CODE,COUNTY_NAME,DISTRICT_NUMBER,DISTRICT_NAME,ISFACMAIN,LICENSE_NUMBER,BUSINESS_NAME,INITIAL_LICENSE_DATE,LICENSE_EFFECTIVE_DATE,LICENSE_EXPIRATION_DATE,ENTITY_TYPE_DESCRIPTION,LATITUDE,LONGITUDE,LOCATION,OSHPD_ID,STREETNUM,STREETNAME,CCHLO_CODE,CCLHO_NAME,FIPS_COUNTY_CODE,TRAUMA_PED_CTR,TRAUMA_CTR
010000086,BAYBERRY HOUSE,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,400 AGUIRRE WAY,NAPA,94559,3551,"JACKSON, LAUREN",LJACKSON@BAYBERRY.BIZ,(707) 252-6891,(707) 252-6845,380,NAPA,11,SANTA ROSA,Y,010000112,"BAYBERRY, INC.",1-Jun-83,1-Jun-17,31-May-18,NONPROFIT CORP,38.29588,-122.271161,"(38.29588,-122.271161)",,400,AGUIRRE WAY,28,NAPA,55,,
010000087,BUTLER VALLEY,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,380 12TH ST,ARCATA,95521,5914,"OTT, SUZETTE  M",BVADMIN@HUMBOLDT1.COM,(707) 445-1887,(707) 822-0301,110,HUMBOLDT,11,SANTA ROSA,Y,010000138,BUTLER VALLEY INC.,14-Sep-83,14-Nov-15,13-Nov-16,NONPROFIT CORP,40.87072,-124.081371,"(40.87072,-124.081371)",,380,12TH ST,12,HUMBOLDT,23,,
010000088,BUTLER VALLEY #2,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,3971 F ST,EUREKA,95503,6003,"OTT, SUZETTE  M",BVADMIN@HUMBOLDT1.COM,(707) 445-1887,(707) 442-7313,110,HUMBOLDT,11,SANTA ROSA,Y,010000137,BUTLER VALLEY INC.,1-Nov-85,1-Dec-15,30-Nov-16,NONPROFIT CORP,40.77003,-124.163321,"(40.77003,-124.163321)",,3971,F ST,12,HUMBOLDT,23,,
010000089,"NEW HAVEN - ICF-DD -H, INCORPORATED",ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,100 SAWYER ST,VALLEJO,94589,2039,"PADILLA, LEONILA R",WEREBOJUS2003@YAHOO.COM,(707) 648-1549,(707) 563-5875,580,SOLANO,11,SANTA ROSA,Y,010000133,"NEW HAVEN ICF-DD-H, INCORPORATED",5-Jun-85,22-Apr-17,21-Apr-18,PROFIT CORP,38.1422,-122.229931,"(38.1422,-122.229931)",,100,SAWYER ST,48,SOLANO,95,,
010000156,NORTHBAY HEALTH AT HOME,HHA,"HOME HEALTH AGENCY		",Non-LTC,0,4520 BUSINESS CENTER DRIVE,FAIRFIELD,94534,1658,"LOWE, EDWARD",,(707) 429-6846,(707) 646-3575,580,SOLANO,11,SANTA ROSA,Y,010000037,NORTHBAY HEALTHCARE GROUP,8-Dec-80,8-Dec-16,7-Dec-17,NONPROFIT CORP,38.226012,-122.132581,"(38.226012,-122.132581)",,4520,BUSINESS CENTER DRIVE,48,SOLANO,95,,
010000160,MILESTONES OF DEVELOPMENT #1,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,150 HILLVIEW DR,VALLEJO,94591,4269,"MACK, CYNTHIA E",MODOFFICE1@AOL.COM,(707) 644-1702,(707) 644-0496,580,SOLANO,11,SANTA ROSA,Y,010000103,MILESTONES OF DEVELOPMENT INC.,3-May-83,1-Nov-17,31-Oct-18,NONPROFIT CORP,38.116,-122.204981,"(38.116,-122.204981)",,150,HILLVIEW DR,48,SOLANO,95,,
010000161,MILESTONES OF DEVELOPMENT #2,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,136 RON CT,VALLEJO,94591,4238,"MACK, CYNTHIA",MODOFFICE1@AOL.COM,(707) 644-1702,(707) 644-0430,580,SOLANO,11,SANTA ROSA,Y,010000104,MILESTONES OF DEVELOPMENT INC.,3-May-83,1-Nov-17,31-Oct-18,NONPROFIT CORP,38.11347,-122.206731,"(38.11347,-122.206731)",,136,RON CT,48,SOLANO,95,,
010000162,MILESTONES OF DEVELOPMENT #3,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,178 SUNRISE WAY,VALLEJO,94591,4240,"YATES, JOAN",MODOFFICE1@AOL.COM,(707) 644-1702,(707) 644-0496,580,SOLANO,11,SANTA ROSA,Y,010000105,MILESTONES OF DEVELOPMENT INC.,3-May-83,1-Nov-17,31-Oct-18,NONPROFIT CORP,38.11426,-122.202701,"(38.11426,-122.202701)",,178,SUNRISE WAY,48,SOLANO,95,,
010000163,MILESTONES OF DEVELOPMENT #4,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,132 TERRYBROOK LN,VALLEJO,94591,4251,"MACK, CYNTHIA",MODOFFICE1@AOL.COM,(707) 644-1702,(707) 644-0496,580,SOLANO,11,SANTA ROSA,Y,010000106,MILESTONES OF DEVELOPMENT INC.,3-May-83,1-Nov-17,31-Oct-18,NONPROFIT CORP,38.11415,-122.210501,"(38.11415,-122.210501)",,132,TERRYBROOK LN,48,SOLANO,95,,
010000164,MILESTONES OF DEVELOPMENT #5,ICFDDH,INTERMEDIATE CARE FACILITY-DD/H/N,LTC,6,200 LYTHAM WAY,VALLEJO,94591,4317,"YATES, JOAN",MODOFFICE1@AOL.COM,(707) 644-1704,(707) 644-0496,580,SOLANO,11,SANTA ROSA,Y,010000107,MILESTONES OF DEVELOPMENT INC.,3-May-83,1-Nov-17,31-Oct-18,NONPROFIT CORP,38.11506,-122.201051,"(38.11506,-122.201051)",,200,LYTHAM WAY,48,SOLANO,95,,
